img_id,correct/wrong,prediction,score(threshold:0.4240000000000003),image_objects,transcription_objects
41478,wrong,parallel,0.220510754035673,Person	Person	Person	Person	Person	Person	Person	Person	Person	Person	Person	Office supplies	Office supplies	Personal care	Personal care	Sculpture	Furniture,Man	Woman	Girl
68416,correct,parallel,0.4533126428723335,Toy	Toy	Bird	Bird	Glove	Home appliance	Boat	Person	Person	Person	Person	Person	Person	Person	Carnivore	Traffic sign	Traffic sign	Land vehicle	Land vehicle	Watercraft	Clock	Clock	Dessert	Dessert	Dessert	Dessert	Hat	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Personal care	Marine invertebrates	Marine invertebrates	Marine invertebrates	Insect	Invertebrate	Invertebrate	Invertebrate	Tableware	Tableware	Musical instrument	Musical instrument	Musical instrument	Reptile	Sculpture	Seafood	Telephone	Telephone	Telephone	Telephone	Telephone	Telephone	Telephone	Telephone	Telephone	Tree	Tree	Vehicle	Vehicle	Weapon	Weapon	Turtle	Footwear	Flower	Flower	Furniture	Furniture	Furniture	Furniture	Furniture	Building	Building	Building	Fish	Moths and butterflies	Racket	Shellfish	Marine mammal	Animal	Animal	Animal	Animal	Animal	Aircraft	Aircraft,Hat
171709,wrong,parallel,0.4217032146609364,Toy	Ball	Home appliance	Home appliance	Home appliance	Home appliance	Watercraft	Beetle	Beetle	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Drink	Drink	Drink	Drink	Couch	Hat	Hat	Hat	Hat	Hat	Hat	Hat	Hat	Office supplies	Office supplies	Office supplies	Office supplies	Personal care	Personal care	Personal care	Fruit	Fruit	Fruit	Fruit	Fruit	Fruit	Fruit	Fruit	Fruit	Fruit	Fruit	Marine invertebrates	Marine invertebrates	Marine invertebrates	Marine invertebrates	Insect	Insect	Invertebrate	Invertebrate	Invertebrate	Invertebrate	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Musical instrument	Musical instrument	Musical instrument	Seafood	Seafood	Vehicle	Flower	Flower	Furniture	Squash	Squash	Racket	Vegetable	Vegetable	Vegetable	Shellfish	Shellfish	Animal	Animal	Animal	Animal	Sandwich,Doughnut	Coffee
130442,wrong,parallel,0.4178065210580826,Person	Person	Person	Person	Person	Person	Person	Carnivore	Land vehicle	Clock	Plumbing fixture	Office supplies	Personal care	Skirt	Table	Trousers	Trousers	Vehicle	Footwear	Footwear	Footwear	Footwear	Furniture	Furniture	Animal,Girl
96287,correct,parallel,0.4310927838087082,Toy	Toy	Toy	Toy	Bird	Ball	Home appliance	Home appliance	Person	Clock	Clock	Clock	Clock	Dessert	Dessert	Drink	Drink	Drink	Drink	Drink	Hat	Plumbing fixture	Plumbing fixture	Plumbing fixture	Plumbing fixture	Office supplies	Personal care	Personal care	Fruit	Fruit	Fruit	Marine invertebrates	Invertebrate	Table	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Musical instrument	Musical instrument	Musical instrument	Musical instrument	Sculpture	Seafood	Telephone	Footwear	Footwear	Footwear	Furniture	Furniture	Furniture	Racket	Racket	Vegetable	Shellfish	Kitchen appliance	Luggage and bags	Animal	Animal	Animal	Animal,Coffee
77530,correct,parallel,0.4700109288096428,Toy	Toy	Bird	Glove	Glove	Bear	Person	Person	Person	Person	Person	Person	Person	Person	Person	Person	Person	Person	Carnivore	Carnivore	Land vehicle	Land vehicle	Land vehicle	Dessert	Hat	Plumbing fixture	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Marine invertebrates	Invertebrate	Table	Musical instrument	Musical instrument	Reptile	Reptile	Reptile	Sculpture	Sculpture	Sculpture	Sculpture	Telephone	Telephone	Telephone	Tree	Trousers	Trousers	Vehicle	Vehicle	Vehicle	Vehicle	Weapon	Weapon	Weapon	Footwear	Footwear	Furniture	Furniture	Furniture	Furniture	Building	Building	Building	Racket	Marine mammal	Luggage and bags	Luggage and bags	Animal	Animal	Animal	Car	Car	Aircraft	Aircraft,Drink
45971,wrong,parallel,0.4118534028530121,Toy	Toy	Bird	Bird	Glove	Ball	Boat	Bear	Bear	Person	Person	Person	Carnivore	Carnivore	Carnivore	Land vehicle	Watercraft	Hat	Hat	Office supplies	Office supplies	Personal care	Personal care	Personal care	Fruit	Marine invertebrates	Insect	Invertebrate	Invertebrate	Tableware	Musical instrument	Reptile	Reptile	Sculpture	Sculpture	Seafood	Telephone	Vehicle	Weapon	Turtle	Footwear	Furniture	Fish	Shellfish	Marine mammal	Marine mammal	Luggage and bags	Animal	Animal	Animal	Animal	Animal	Animal	Animal	Aircraft	Helmet,Wardrobe
110518,correct,parallel,0.45475510880351067,Toy	Toy	Bird	Glove	Boat	Person	Person	Person	Person	Person	Person	Carnivore	Carnivore	Carnivore	Land vehicle	Watercraft	Dessert	Drink	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Fruit	Marine invertebrates	Invertebrate	Tableware	Tableware	Musical instrument	Musical instrument	Reptile	Reptile	Reptile	Sculpture	Sculpture	Sculpture	Telephone	Telephone	Telephone	Tree	Trousers	Vehicle	Vehicle	Weapon	Weapon	Weapon	Footwear	Footwear	Footwear	Flower	Furniture	Furniture	Building	Racket	Luggage and bags	Luggage and bags	Animal	Animal	Animal	Aircraft,Hat
173710,wrong,parallel,0.4127839409800632,Toy	Person	Person	Person	Person	Person	Person	Person	Person	Person	Person	Couch	Office supplies	Office supplies	Office supplies	Office supplies	Skirt	Skirt	Skirt	Musical instrument	Musical instrument	Sculpture	Tree	Tree	Trousers	Trousers	Trousers	Trousers	Trousers	Footwear	Footwear	Furniture	Furniture	Furniture	Furniture	Building	Building	Building	Luggage and bags,Ant
140172,correct,parallel,0.49181721915694443,Toy	Home appliance	Home appliance	Person	Person	Person	Carnivore	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Dessert	Drink	Drink	Drink	Drink	Hat	Office supplies	Office supplies	Office supplies	Office supplies	Office supplies	Personal care	Fruit	Fruit	Fruit	Marine invertebrates	Invertebrate	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Tableware	Musical instrument	Reptile	Telephone	Telephone	Tree	Weapon	Footwear	Flower	Flower	Furniture	Furniture	Building	Fish	Vegetable	Vegetable	Vegetable	Kitchen appliance	Kitchen appliance	Kitchen appliance	Luggage and bags	Animal	Animal	Sandwich,Ant
